"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESF","WT01","WT03"
"US1CAAL0024","FREMONT 3.7 NE, CA US","2014-12-18",,,"0.23","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2014-12-19",,,"0.00","0.0",,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2014-12-20",,,"0.47",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2014-12-21",,,"0.00",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2014-12-25",,,"0.07",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-02-07",,,"1.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-02-08",,,"0.46",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-02-09",,,"0.96",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-03-01",,,"0.09",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-03-23",,,"0.23",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-04-07",,,"0.61",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-04-25",,,"0.67",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-05-15",,,"0.27",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-11-02",,,"0.79",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2015-11-25",,,"0.22",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-03-05",,,"0.37",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-03-06",,,"1.05",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-03-07",,,"1.01",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-03-08",,,"0.12",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-03-14",,,"0.90",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-10-15",,,"0.41",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-10-28",,,"1.11",,,,,,,,
"US1CAAL0024","FREMONT 3.7 NE, CA US","2016-10-29",,,"0.33",,,,,,,,
